                  name                   |              domain              | count_number 
-----------------------------------------+----------------------------------+--------------
 GAIL's                                  | gailsbread.co.uk                 |            5
 Duke's Grocery                          | dukesgrocery.com                 |            2
 London Cocktail Club                    | londoncocktailclub.co.uk         |            2
 Patty & Bun                             | pattyandbun.co.uk                |            9
 Tantrum Doughnuts                       | tantrumdoughnuts.com             |            2
 tashas                                  | tashascafe.com                   |            2
 Carousel                                | carousel-london.com              |            2
 Ottolenghi                              | ottolenghi.co.uk                 |            4
 Mikkeller                               | mikkeller.dk                     |            2
 Mandarin Oriental                       | mandarinoriental.com             |            3
 Boom Bap Burger                         | boombapburger.com                |            2
 EL&N London                             | elnlondon.co.uk                  |            2
 Toby Carvery                            | tobycarvery.co.uk                |            2
 Pizza Express                           | pizzaexpress.com                 |            7
 Pix Pintxos                             | pix-bar.com                      |            3
 Voodoo Ray's                            | voodoorays.com                   |            4
 MEAT Liquor                             | meatliquor.com                   |            9
 The Athenian                            | theathenian.co.uk                |            3
 Nobu                                    | noburestaurants.com              |            7
 Goodman                                 | goodmanrestaurants.com           |            2
 Hotbox                                  | hotboxlondon.co.uk               |            2
 Oath Pizza                              | oathpizza.com                    |            6
 Banana                                  | bananacph.com                    |            3
 Gourmet Burger Kitchen                  | gbk.co.uk                        |            2
 Blacklock                               | theblacklock.com                 |            3
 Fire Wings                              | firewings.com                    |            8
 Côte                                    | cote.co.uk                       |            2
 Kushi                                   | kushirestaurant.co.uk            |            2
 BrewDog                                 | brewdog.com                      |            2
 Gin & Juice                             | ginandjuice.com                  |            2
 Bleecker                                | bleeckerburger.co.uk             |            3
 Taqueria                                | taqueria.co.uk                   |            2
 Buddha Bar                              | buddhabarlondon.com              |            2
 Starbucks                               | starbucks.com                    |            2
 Fora                                    | forarestaurants.co.uk            |            2
 The Blues Kitchen                       | theblueskitchen.com              |            3
 Five Guys                               | restaurants.fiveguys.co.uk       |            9
 Harry's Dolce Vita                      | harrysdolcevita.com              |            2
 Giggling Squid                          | gigglingsquid.com                |           15
 The Gate                                | thegaterestaurants.com           |            4
 Fat Hippo                               | fathippo.co.uk                   |            3
 The Salty Donut                         | saltydonut.com                   |            3
 Chucs                                   | chucsrestaurants.com             |            2
 Caravan                                 | caravanrestaurants.co.uk         |            5
 Radio Alice Pizzeria                    | radioalicepizzeria.co.uk         |            3
 Miscusi                                 | miscusi.com                      |            2
 The Chipping Forecast                   | chippingforecast.com             |            2
 Zuma                                    | zumarestaurant.com               |           14
 Taco Mamacita                           | tacomamacita.com                 |            2
 Heartcore                               | heartcore.co.uk                  |            7
 Temper                                  | temperrestaurant.com             |            3
 Pollo Tropical                          | pollotropical.com                |            7
 Comptoir Gourmand                       | comptoirgourmand.co.uk           |            2
 Bubbleology                             | bubbleology.co.uk                |            2
 Gail's                                  | gailsbread.co.uk                 |            2
 Sticks'n'Sushi Covent Garden            | sticksnsushi.com                 |            2
 Six by Nico                             | sixbynico.co.uk                  |            3
 Natural History Museum                  | nhm.ac.uk                        |            2
 Buvette                                 | ilovebuvette.com                 |            2
 YO! Sushi                               | yosushi.com                      |            3
 STK                                     | stksteakhouse.com                |            3
 Butchies                                | butchies.co.uk                   |            2
 McDonalds                               | mcdonalds.com                    |            2
 Be At One                               | beatone.co.uk                    |            2
 Wright Brothers                         | thewrightbrothers.co.uk          |            3
 Ole & Steen                             | oleandsteen.co.uk                |            3
 Hotel du Vin                            | hotelduvin.com                   |            2
 wagamama                                | wagamama.com                     |            4
 Sticks’n’Sushi - Victoria               | sticksnsushi.com                 |            2
 DF Tacos                                | dftacos.co.uk                    |            2
 Bubbleology                             | bubbleologyusa.com               |            2
 Haché Burgers Chelsea                   | hacheburgers.com                 |            2
 Pancake Pantry                          | pancakepantry.com                |            2
 Brasserie Zédel                         | brasseriezedel.com               |            2
 Cosy Club                               | cosyclub.co.uk                   |            6
 Cabana                                  | cabana-brasil.com                |            2
 Hakkasan                                | hakkasan.com                     |           11
 Bocas Grill                             | bocasgrill.com                   |            3
 Vinoteca                                | vinoteca.co.uk                   |            2
 Flax & Kale                             | flaxandkale.com                  |            2
 The Five Fields                         | fivefieldsrestaurant.com         |            2
 Söderberg                               | soderberg.uk                     |            2
 Kricket                                 | kricket.co.uk                    |            3
 Habaneros                               | habaneros.co.uk                  |            2
 Bánh Bánh                               | banhbanh.com                     |            2
 Bread Ahead                             | breadahead.com                   |            4
 220GRAD                                 | 220grad.com                      |            2
 Barrafina                               | barrafina.co.uk                  |            4
 7Bone Burger Co.                        | 7bone.co.uk                      |            2
 Greggs                                  | greggs.co.uk                     |            4
 Hoppers                                 | hopperslondon.com                |            3
 Heartbreak Hotel Coffee                 | heartbreakhotelcoffee.com        |            2
 Coffee & Thyme                          | coffeeandthyme.co                |            2
 Atariya Foods                           | atariya.co.uk                    |            2
 Shoryu Ramen                            | shoryuramen.com                  |            2
 Hard Rock Cafe - Park Lane              | hardrockcafe.com                 |            2
 Brat                                    | bratrestaurant.com               |            2
 Almost Famous                           | almostfamousburgers.com          |            2
 Sticks'n'Sushi Canary Wharf             | sticksnsushi.com                 |            2
 Fatto a Mano                            | fattoamanopizza.com              |            2
 Mobile Phone Repair Doctor              | mobilephonerepairdoctor.co.uk    |            2
 Olive + Squash                          | oliveandsquash.co.uk             |            2
 Rye Bakery                              | rye-bakery.com                   |            2
 Street Pizza Gordon Ramsay              | gordonramsayrestaurants.com      |            2
 Amorino                                 | amorino.com                      |            5
 Foot Locker                             | stores.footlocker.dk             |            2
 La Petite Maison                        | lpmrestaurants.com               |            2
 The Coconut Tree                        | thecoconut-tree.com              |            3
 Petersham Nurseries                     | petershamnurseries.com           |            2
 Beany Green                             | daisygreenfood.com               |            2
 Taverna del Marinaio                    | tavernadelmarinaio.com           |            2
 Island Poké                             | islandpoke.com                   |            2
 Emilia's Crafted Pasta                  | emiliaspasta.com                 |            2
 Casa do Frango                          | casadofrango.co.uk               |            2
 Harrods                                 | harrods.com                      |            2
 Artist Residence                        | artistresidence.co.uk            |            2
 KFC                                     | kfc.co.uk                        |            3
 Time Out Market                         | timeoutmarket.com                |            2
 Pho                                     | phocafe.co.uk                    |            5
 Farmer J                                | farmerj.com                      |            2
 Burger & Lobster                        | burgerandlobster.com             |           19
 Soft Serve Society                      | softservesociety.com             |            2
 The Ampersand Hotel                     | ampersandhotel.com               |            2
 Zelman Meats                            | zelmanmeats.com                  |            2
 EL&N                                    | elnlondon.co.uk                  |            6
 Lou Malnati's Pizzeria                  | loumalnatis.com                  |            2
 T-Mobile                                | t-mobile.pl                      |            2
 Comptoir Libanais                       | comptoirlibanais.com             |           22
 The Collab                              | thecollablondon.com              |            2
 Wild Bean Cafe                          | bp.com                           |            2
 Zaza                                    | zaza.co.uk                       |            4
 Wild & The Moon                         | wildandthemoon.ae                |            3
 Noble Rot                               | noblerot.co.uk                   |            2
 Haché Burgers                           | hacheburgers.com                 |            2
 Lussmanns                               | lussmanns.com                    |            4
 Half Cup                                | halfcup.co.uk                    |            2
 Roka                                    | rokarestaurant.com               |            4
 Omnino                                  | omninorestaurants.com            |            2
 Burger & Beyond                         | burgerandbeyond.co.uk            |            2
 German Doner Kebab                      | germandonerkebab.com             |            3
 Pubbelly Sushi                          | pubbellyglobal.com               |            6
 Kibou                                   | kibou.co.uk                      |            2
 by CHLOE.                               | eatbychloe.com                   |           17
 Boston Tea Party                        | bostonteaparty.co.uk             |            4
 Eat Tokyo                               | eattokyo.co.uk                   |            3
 Santa Maria                             | santamariapizzeria.com           |            3
 Bunga Bunga                             | bungabunga.com                   |            2
 Copenhagen Coffee Lab                   | copenhagencoffeelab.com          |            3
 The Leopard Inn                         | theleopardinn.co.uk              |            2
 SUSHISAMBA                              | sushisamba.com                   |            4
 Moomaid Of Zennor                       | moomaidofzennor.com              |            2
 Pastaio                                 | pastaio.co.uk                    |            2
 Department of Coffee and Social Affairs | departmentofcoffee.com           |            2
 The Hampstead Butcher & Providore       | hampsteadbutcher.com             |            2
 Per Tutti                               | pertuttirestaurant.co.uk         |            2
 Pizza Union                             | pizzaunion.com                   |            3
 Tortilla                                | tortilla.co.uk                   |            2
 Bulla Gastrobar                         | bullagastrobar.com               |            7
 The Breakfast Club                      | thebreakfastclubcafes.com        |            5
 Prezzo                                  | prezzorestaurants.co.uk          |            3
 The Hoxton                              | thehoxton.com                    |            8
 Martin's BBQ                            | martinsbbqpr.net                 |            2
 Yauatcha                                | yauatcha.com                     |            2
 M Burger                                | mburgerchicago.com               |            2
 O'Neill's                               | oneills.co.uk                    |            2
 Black Tap Craft Burgers & Shakes        | blacktap.com                     |            2
 Dabbawal                                | dabbawal.com                     |            2
 Bill's                                  | bills-website.co.uk              |            8
 Bosco Pizzeria                          | boscopizzeria.co.uk              |            2
 Black Tap                               | blacktapme.com                   |            2
 Le Pain Quotidien                       | lepainquotidien.com              |            6
 Tapas Revolution                        | tapasrevolution.com              |            4
 Ippudo                                  | ippudony.com                     |            3
 Milsoms                                 | milsomhotels.com                 |            2
 Daylesford Organic                      | daylesford.com                   |            4
 Frankies Pizza                          | frankiespizza.dk                 |            7
 Flat Iron                               | flatironsteak.co.uk              |            9
 Dirty Burger                            | eatdirtyburger.com               |            2
 Wimpy                                   | locations.wimpy.uk.com           |            4
 The Rib Room                            | jumeirah.com                     |            2
 Melange                                 | melangerestaurant.co.uk          |            2
 Grabli                                  | grabli.ru                        |            2
