                  name                   |                domain                | count_number 
-----------------------------------------+--------------------------------------+--------------
 The Lunch Box                           | www.thelunchbox.co.uk                |            3
 Joe's Pizza                             | www.joespizzanyc.com                 |            2
 GAIL's                                  | gailsbread.co.uk                     |            5
 Mediterranevm                           | www.mediterranevm.co.uk              |            2
 Pophams                                 | www.pophamsbakery.com                |            2
 Gusto                                   | www.gustorestaurants.uk.com          |            2
 Patty & Bun                             | pattyandbun.co.uk                    |            2
 All Bar One                             | www.allbarone.co.uk                  |            2
 Wingmans                                | www.wingmans.co.uk                   |            2
 Ottolenghi                              | ottolenghi.co.uk                     |            4
 Mikkeller                               | mikkeller.dk                         |            2
 Mandarin Oriental                       | www.mandarinoriental.com             |            3
 Boom Bap Burger                         | boombapburger.com                    |            2
 Mildreds                                | www.mildreds.co.uk                   |            4
 Voodoo Ray's                            | voodoorays.com                       |            4
 MEAT Liquor                             | meatliquor.com                       |            9
 Lou Malnati's Pizzeria                  | www.loumalnatis.com                  |            2
 Nobu                                    | noburestaurants.com                  |            7
 Shoryu Ramen                            | www.shoryuramen.com                  |            2
 Hotbox                                  | hotboxlondon.co.uk                   |            2
 Thai Square                             | www.thaisq.com                       |            3
 Oath Pizza                              | oathpizza.com                        |            6
 Cake Box                                | www.eggfreecake.co.uk                |            3
 Blacklock                               | theblacklock.com                     |            3
 Kushi                                   | kushirestaurant.co.uk                |            2
 O'Neill's                               | www.oneills.co.uk                    |            2
 Cabana                                  | www.cabana-brasil.com                |            2
 Nando's                                 | www.nandos.co.uk                     |            7
 Bleecker                                | bleeckerburger.co.uk                 |            3
 SUSHISAMBA                              | www.sushisamba.com                   |            4
 Hard Rock Cafe                          | www.hardrockcafe.com                 |            2
 Wingstop                                | www.wingstop.co.uk                   |            2
 Temper                                  | www.temperrestaurant.com             |            3
 The Cornish Bakery                      | www.thecornishbakery.com             |            2
 Fora                                    | forarestaurants.co.uk                |            2
 Five Guys                               | restaurants.fiveguys.co.uk           |            9
 Giggling Squid                          | gigglingsquid.com                    |            2
 Carousel                                | www.carousel-london.com              |            2
 Rye Bakery                              | www.rye-bakery.com                   |            2
